
2025/06/21 (15:02:38) | ===> btop++ v.1.4.0
2025/06/21 (15:02:38) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/06/21 (15:02:38) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2025/06/24 (20:56:17) | ===> btop++ v.1.4.0
2025/06/24 (20:56:17) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/06/24 (20:56:17) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2025/06/24 (21:02:57) | ===> btop++ v.1.4.0
2025/06/24 (21:02:57) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/06/24 (21:02:57) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2025/06/25 (16:25:06) | ===> btop++ v.1.4.0
2025/06/25 (16:25:06) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/06/25 (16:25:06) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2025/06/25 (16:27:05) | ===> btop++ v.1.4.0
2025/06/25 (16:27:05) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/06/25 (16:27:05) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2025/07/14 (20:47:38) | ===> btop++ v.1.4.0
2025/07/14 (20:47:38) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/07/14 (20:47:38) | WARNING: NVML: Failed to get GPU power usage: Not Supported
